period	v1ipm	v1abs
2007	0	0
2008	36.408982095883054	4
2009	13.938836385938503	2
2010	4.972304265242599	1
2011	8.74451500296439	5
2012	7.906838466452866	5
2013	19.652955018316554	15
2014	5.910619610253742	6
2015	12.006112202575856	11
2016	2.612801157993473	2
2017	1.179353761312951	1
2018	10.328610480555817	9
2019	17.87401944246465	16
2020	7.577422312477741	7
2021	16.00020114538583	14
2022	13.85252600811758	7
