period	v1ipm	v1abs
2003	80.21082150637676	549
2004	110.37989313148752	10647
2005	143.79931509422457	33416
2006	162.496542706684	76234
2007	183.47139717266822	116497
2008	200.7251966909414	125000
2009	207.88976271968977	123332
2010	199.4172345589774	82189
2011	190.6473162408428	68767
2012	187.5365330070048	54468
2013	177.93368371609282	36967
2014	166.9536665601747	23126
2015	162.304806647275	14410
2016	158.29890158976053	10127
2017	153.18953478763908	9429
2018	154.87440382908122	8754
2019	127.84167129215713	5849
2020	132.7905742487126	5536
2021	114.41094006451685	4656
