period	v1ipm	v1abs
2006	0	0
2007	148.2940883620918	14
2008	87.57914163896888	41
2009	159.84574922459907	2145
2010	180.02556127983945	4137
2011	184.12424322165614	6347
2012	180.9311574259043	13847
2013	140.42133437372152	12292
2014	117.27358691509356	6308
2015	2338.5984094348805	130820
2016	7919.073390978214	233374
2017	4501.58031998535	158603
