period	v1ipm	v1abs
2000	761.3539314373479	4740
2001	761.5876475703168	4494
2002	704.7322950813438	8153
2003	734.3959949576828	9421
2004	709.8455640198732	34043
2005	685.1538628815349	55692
2006	702.7358516284717	85658
2007	677.6944475490799	117134
2008	691.086148892724	168868
2009	685.7715797598731	208540
2010	705.1745813270751	258146
2011	701.7750568486747	263785
2012	705.7397241864714	255744
2013	710.5669817200504	231863
2014	696.6161694641139	195532
2015	742.0374352602477	179484
2016	694.6989052199145	155154
2017	727.0716769207738	136433
2018	752.7660498818534	143094
2019	746.0077248582984	139554
2020	695.9126557755866	153784
2021	694.2627078397879	148254
