period	v1ipm	v1abs
2001	1.62826405883895	1
2002	25.3067612722541	441
2003	28.484226613958842	348
2004	33.245636799892345	459
2005	33.080542851708195	976
2006	27.38901333605628	618
2007	27.97351229127304	689
2008	22.603745386187345	623
2009	20.47218990126958	530
2010	21.38334083150612	509
2011	20.785269776242004	546
2012	22.560841755749163	567
2013	18.411703167316286	417
