period	v1ipm	v1abs
2003	1995.335499658629	13657
2004	1990.5288100903417	192002
2005	2262.91993770016	525856
2006	2464.1031667899797	1156015
2007	2612.5346108214508	1658855
2008	2774.3771004165596	1727721
2009	2895.289551255758	1717650
2010	2929.525528582083	1207392
2011	2918.2316247260824	1052614
2012	2845.009911017241	826303
2013	2877.190601809195	597757
2014	2827.7010222385447	391686
2015	2765.849613457193	245562
2016	2792.4820354897165	178646
2017	2919.1793849939763	179679
2018	2938.933769166017	166118
2019	2810.9649204770817	128607
2020	2858.1875823254786	119157
2021	2813.880061999131	114512
